skillsCount,projectsCount,internshipCount,certificationCount,metricsCount,githubPresent,linkedinPresent,awsPresent,dockerPresent,redisPresent,score
7,3,0,2,7,0,0,0,1,0,58
11,2,0,3,7,1,0,1,0,1,69
12,5,1,1,4,0,1,1,1,0,83
12,0,0,2,10,0,1,1,1,1,71
16,5,1,5,2,1,0,1,1,0,94
3,4,2,4,8,0,1,1,0,1,87
14,1,1,0,9,0,1,1,1,0,80
7,3,0,2,0,1,1,1,1,1,49
6,5,1,3,5,0,0,1,1,1,79
2,1,1,3,7,1,0,1,0,1,56
8,4,0,1,4,1,1,0,1,1,62
13,0,0,4,0,0,0,0,1,0,38
12,2,2,0,7,0,0,0,0,0,75
10,1,0,3,6,0,1,1,1,0,59
16,5,0,2,7,1,0,0,0,0,85
5,5,2,0,4,1,0,0,1,0,74
9,1,1,3,2,0,1,0,0,1,50
4,5,0,4,10,0,1,0,1,0,77
19,5,1,1,8,0,1,1,1,1,100
12,3,1,5,10,1,1,0,1,0,98
7,5,0,0,8,0,1,0,1,0,69
9,2,2,5,7,0,0,1,0,0,83
19,1,2,2,5,1,1,1,0,1,94
17,5,0,1,3,1,1,0,1,0,79
17,4,0,0,10,0,1,1,1,1,97
5,0,0,2,1,0,1,1,1,1,30
4,2,2,0,5,1,0,1,1,1,67
11,0,0,3,10,1,1,0,0,1,66
4,2,1,2,2,1,1,0,1,0,47
1,1,0,2,8,0,1,0,0,1,40
10,2,2,3,9,1,0,1,1,0,94
2,0,1,3,4,0,1,0,0,0,34
9,2,2,2,3,1,1,1,0,1,73
20,2,0,3,5,1,1,1,0,1,83
3,0,0,1,1,1,1,0,1,0,20
9,3,0,3,0,1,0,1,1,1,53
8,2,0,0,10,0,1,0,1,1,65
6,5,0,2,5,1,0,0,1,0,63
1,3,2,0,4,1,0,1,0,1,59
3,0,0,3,4,1,0,1,0,0,31
17,5,0,2,0,1,0,0,0,1,69
1,2,1,0,9,0,1,1,0,1,58
14,1,2,5,6,1,0,0,1,1,91
17,0,0,2,5,1,0,0,1,0,60
3,1,0,4,9,0,0,1,0,1,53
1,5,1,3,2,0,0,1,1,1,60
19,0,1,5,5,1,1,1,0,1,85
10,5,2,5,10,1,0,0,1,0,100
12,3,0,3,5,0,1,1,1,0,70
3,3,0,1,9,1,0,0,1,0,57
19,3,1,1,4,1,0,1,0,0,84
9,3,0,0,9,1,0,0,1,1,70
16,0,0,4,0,1,0,0,1,0,47
5,5,0,2,9,1,0,0,1,0,73
14,3,0,0,3,0,1,1,1,1,65
16,4,2,3,0,1,1,0,0,1,86
10,5,0,3,1,1,0,1,1,0,65
1,4,0,3,7,1,0,1,0,1,59
20,3,1,2,0,0,0,0,0,0,69
12,2,0,0,7,1,0,1,0,0,62
12,5,1,4,2,1,0,0,0,1,79
8,4,1,1,9,1,1,0,0,0,80
4,1,0,1,10,0,1,1,0,0,51
4,1,0,0,7,1,0,0,0,1,40
4,1,0,5,4,1,0,0,0,0,38
3,0,1,0,0,1,1,1,0,1,28
13,2,2,0,3,1,0,0,0,1,71
9,3,1,3,2,1,0,1,0,0,62
3,3,0,3,10,0,1,0,0,1,62
7,4,0,1,9,0,1,0,1,0,69
3,4,2,2,1,0,1,0,1,1,62
12,0,0,5,6,1,0,1,1,0,63
18,2,1,1,4,0,0,1,0,1,77
16,4,0,5,3,0,0,0,0,0,71
4,3,1,3,2,0,1,1,0,0,51
10,1,2,5,2,0,0,1,1,1,72
20,3,0,0,6,0,0,0,1,1,80
17,0,0,5,4,1,1,1,0,1,68
13,4,2,4,5,0,0,1,0,1,96
3,2,0,1,8,0,1,0,0,0,44
3,0,2,3,9,1,1,1,1,1,75
8,1,1,1,1,1,1,0,0,1,44
17,0,0,4,3,0,1,1,0,0,57
14,2,0,5,1,0,1,0,0,0,53
2,1,1,1,10,0,0,0,1,0,55
1,1,2,0,10,0,1,0,0,1,62
17,4,0,1,8,0,0,0,0,1,83
6,3,0,4,4,1,0,0,0,0,50
5,1,1,2,0,0,1,0,1,0,35
19,4,0,3,0,0,1,1,1,1,77
8,1,1,1,5,1,0,0,1,1,58
1,5,0,5,10,0,0,1,0,0,71
15,4,0,5,1,0,0,0,1,1,70
2,5,1,1,1,1,0,0,0,0,47
2,3,0,5,0,1,0,1,1,0,40
10,2,0,4,3,1,1,0,1,0,56
20,4,1,5,4,1,0,1,0,0,99
16,2,2,0,6,0,1,0,0,1,85
16,3,0,2,2,0,0,1,1,0,65
19,2,0,4,1,1,1,0,1,0,68
6,0,0,0,9,1,1,0,1,1,51
13,2,0,1,8,0,0,1,0,1,69
11,4,0,1,3,0,1,0,0,0,55
20,5,1,1,6,1,1,1,0,1,100
14,2,2,2,6,1,0,0,1,0,87
18,1,1,2,2,0,1,0,0,0,63
10,0,0,5,9,1,1,0,0,0,62
20,0,1,2,8,0,1,0,1,0,84
2,0,2,1,8,0,1,1,1,1,63
2,2,2,4,5,0,0,0,0,1,60
6,5,2,3,10,1,1,1,0,1,100
9,2,2,4,3,1,0,1,1,1,79
11,3,2,5,5,0,1,1,1,0,92
2,2,1,2,4,1,1,1,1,0,53
20,0,0,3,0,1,1,1,1,0,59
11,3,0,2,2,0,1,1,1,1,60
5,1,1,4,7,1,1,0,0,0,59
9,0,0,2,7,1,0,0,1,0,50
17,4,1,3,1,1,0,1,0,0,80
2,3,2,2,0,1,1,1,1,1,59
8,2,0,4,2,0,0,0,0,0,40
14,1,1,3,8,0,1,0,1,1,82
8,5,2,4,5,0,0,0,0,0,84
17,0,2,1,4,1,1,0,0,0,73
6,5,2,2,7,1,1,1,0,0,91
1,3,1,2,3,0,1,0,0,0,42
5,2,2,0,3,1,1,1,0,0,58
10,0,1,5,3,0,1,1,1,0,59
8,4,0,3,1,0,0,0,0,1,48
4,1,2,2,4,1,0,1,1,1,63
6,5,2,1,10,1,1,0,1,1,100
18,0,0,3,10,1,1,1,1,1,88
5,4,2,1,0,1,0,1,0,1,62
19,4,1,0,5,0,0,0,1,0,87
14,3,1,0,0,0,1,0,0,1,58
15,4,2,0,4,0,1,1,0,0,88
9,2,2,3,8,1,0,1,1,0,89
18,2,1,2,0,1,0,0,1,0,67
19,5,0,3,5,0,1,0,0,0,86
11,5,1,3,1,0,0,0,0,1,69
9,0,1,5,7,0,0,0,1,0,63
19,2,2,5,0,0,0,1,1,1,89
19,1,0,5,2,0,1,1,1,1,72
17,1,1,5,2,0,1,0,1,0,71
7,2,1,1,2,1,1,1,0,0,51
18,4,0,0,6,0,1,0,0,0,76
8,5,0,4,2,0,0,1,0,1,62
2,2,1,5,10,1,1,1,0,1,76
14,1,2,1,6,0,0,0,0,1,76
19,3,0,3,1,1,0,0,0,1,68
11,1,2,1,2,0,0,1,1,0,63
5,5,1,0,1,0,1,0,1,1,57
12,0,1,5,7,0,1,0,1,1,74
17,1,2,0,8,1,1,0,0,0,88
9,5,1,2,3,1,1,0,0,1,74
5,2,1,1,4,1,1,0,1,1,56
17,4,0,5,9,1,0,0,1,1,100
6,2,1,3,8,0,0,1,0,0,66
14,1,1,2,0,0,0,1,0,1,54
11,2,0,2,6,1,0,1,1,0,65
15,5,1,4,7,0,1,1,0,1,100
19,2,2,0,10,0,0,1,0,1,100
2,4,0,0,7,0,0,0,0,0,45
8,1,0,2,2,1,0,1,1,0,42
6,1,2,4,10,0,0,0,0,1,78
17,3,1,2,7,0,0,0,0,0,84
16,5,0,1,8,1,0,0,1,0,90
13,1,2,1,6,0,0,1,0,1,78
7,5,2,4,6,0,0,1,1,1,96
18,5,2,2,1,0,1,0,0,1,93
3,3,0,1,2,0,0,1,1,0,37
12,0,0,5,8,0,1,0,1,0,64
10,3,1,1,6,0,1,1,1,0,75
13,4,1,2,10,0,1,1,0,1,99
17,4,1,4,8,1,1,1,0,0,100
10,5,0,3,4,0,1,0,0,0,65
14,5,1,3,1,1,0,0,1,0,79
14,0,2,0,8,1,1,1,0,1,84
5,4,0,2,5,0,1,0,1,1,58
11,5,0,1,8,0,1,1,0,1,82
20,4,2,5,4,0,0,1,1,0,100
2,0,1,0,0,1,0,1,1,0,25
5,5,2,0,8,0,1,1,0,0,85
10,2,1,1,0,1,0,1,0,1,52
13,4,2,0,8,1,1,0,1,0,99
